13:31:04 INFO  manager.ApplicationManager - All tests start in ChromeBrowser
13:31:06 INFO  tests.TestsBase - Name of test --->addContactSuccess
13:31:06 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
13:31:11 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
13:31:11 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
13:31:11 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
13:31:12 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
13:31:12 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
13:31:12 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
13:31:12 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
13:31:13 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
13:31:13 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
13:31:13 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
13:31:14 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
13:31:14 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
13:31:14 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
13:31:14 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
13:31:14 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
13:31:14 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
13:31:15 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
13:31:15 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
13:31:15 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
13:31:15 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
13:31:15 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
13:31:16 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Address']
13:31:16 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Address'] was found
13:31:16 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='description']
13:31:16 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='description'] was found
13:31:16 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Save']
13:31:17 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Save'] was found
13:31:17 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
13:31:17 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
13:31:17 INFO  manager.MyListener - Start find element ---> By.cssSelector: h2
13:31:17 INFO  manager.MyListener - Element with locator ---> By.cssSelector: h2 was found
13:31:18 INFO  manager.MyListener - Start find element ---> By.cssSelector: h3
13:31:18 INFO  manager.MyListener - Element with locator ---> By.cssSelector: h3 was found
