13:21:15 INFO  manager.ApplicationManager - All tests start in ChromeBrowser
13:21:18 INFO  tests.TestsBase - Name of test --->removeOneContact
13:21:18 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
13:21:23 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
13:21:23 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
13:21:23 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
13:21:23 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
13:21:23 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
13:21:24 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
13:21:24 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
13:21:24 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
13:21:24 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
13:21:25 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
13:21:26 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
13:21:26 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Remove']
13:21:26 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Remove'] was found
