20:23:33 INFO  manager.ApplicationManager - All tests start in ChromeBrowser
20:23:36 INFO  tests.TestsBase - Name of test --->addContactSuccessDataProvider
20:23:36 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
20:23:41 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
20:23:41 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
20:23:41 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
20:23:42 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
20:23:42 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
20:23:43 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
20:23:43 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
20:23:43 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
20:23:43 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
20:23:43 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
20:23:44 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
20:23:44 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
20:23:44 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
20:23:45 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
20:23:45 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
20:23:45 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
20:23:45 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
20:23:46 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
20:23:46 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
20:23:46 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
20:23:46 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
20:23:47 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Address']
20:23:47 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Address'] was found
20:23:47 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='description']
20:23:47 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='description'] was found
20:23:48 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Save']
20:23:48 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Save'] was found
20:23:48 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
20:23:53 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
20:23:53 INFO  tests.TestsBase - Name of test --->addContactSuccessDataProvider
20:23:53 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
20:23:53 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
20:23:53 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
20:23:58 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
20:23:58 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
20:23:58 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
20:23:59 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
20:24:00 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
20:24:02 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
20:24:02 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
20:24:03 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
20:24:03 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
20:24:03 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
20:24:03 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
20:24:04 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Address']
20:24:04 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Address'] was found
20:24:04 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='description']
20:24:04 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='description'] was found
20:24:04 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Save']
20:24:04 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Save'] was found
20:24:04 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
20:24:10 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
