13:29:49 INFO  manager.ApplicationManager - All tests start in ChromeBrowser
13:29:51 INFO  tests.TestsBase - Name of test --->addContactSuccessDataProvider
13:29:51 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
13:29:56 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
13:29:56 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
13:29:56 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
13:29:56 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
13:29:56 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
13:29:57 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
13:29:57 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
13:29:57 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
13:29:57 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
13:29:58 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
13:29:59 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
13:29:59 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
13:29:59 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
13:29:59 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
13:29:59 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
13:30:00 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
13:30:00 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
13:30:00 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
13:30:00 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
13:30:00 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
13:30:01 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
13:30:01 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Address']
13:30:01 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Address'] was found
13:30:02 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='description']
13:30:02 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='description'] was found
13:30:02 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Save']
13:30:02 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Save'] was found
13:30:02 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
13:30:07 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
13:30:07 INFO  manager.MyListener - Start find element ---> By.cssSelector: h2
13:30:13 INFO  manager.MyListener - Element with locator ---> By.cssSelector: h2 was found
13:30:13 INFO  tests.TestsBase - Name of test --->addContactSuccessDataProvider
13:30:13 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
13:30:13 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
13:30:13 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
13:30:18 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
13:30:18 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
13:30:18 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
13:30:18 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
13:30:18 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
13:30:18 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
13:30:18 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
13:30:18 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
13:30:18 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
13:30:19 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
13:30:19 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
13:30:19 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Address']
13:30:19 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Address'] was found
13:30:19 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='description']
13:30:19 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='description'] was found
13:30:20 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Save']
13:30:20 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Save'] was found
13:30:20 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
13:30:25 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
13:30:25 INFO  manager.MyListener - Start find element ---> By.cssSelector: h2
13:30:30 INFO  manager.MyListener - Element with locator ---> By.cssSelector: h2 was found
