18:56:14 INFO  manager.ApplicationManager - All tests start in ChromeBrowser
18:56:16 INFO  tests.TestsBase - Name of test --->removeAllContactsNOTWORKS
18:56:16 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
18:56:21 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
18:56:21 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
18:56:21 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
18:56:22 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
18:56:22 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
18:56:23 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
18:56:23 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
18:56:23 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
18:56:23 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
18:56:23 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
18:56:25 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
18:56:25 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
18:56:25 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
18:56:25 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
18:56:25 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
18:56:26 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
18:56:26 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
18:56:26 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
18:56:26 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
18:56:27 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
18:56:27 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
18:56:28 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Address']
18:56:28 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Address'] was found
18:56:28 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='description']
18:56:28 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='description'] was found
18:56:28 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Save']
18:56:29 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Save'] was found
18:56:31 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
18:56:31 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
18:56:31 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
18:56:31 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
18:56:31 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
18:56:31 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
18:56:32 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
18:56:32 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
18:56:32 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
18:56:32 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
18:56:33 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Address']
18:56:33 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Address'] was found
18:56:33 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='description']
18:56:33 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='description'] was found
18:56:34 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Save']
18:56:34 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Save'] was found
18:56:36 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
18:56:36 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
18:56:36 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
18:56:36 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
18:56:37 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
18:56:37 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
18:56:37 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
