18:54:23 INFO  manager.ApplicationManager - All tests start in ChromeBrowser
18:54:27 INFO  tests.TestsBase - Name of test --->removeAllContactsNOTWORKS
18:54:27 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
18:54:33 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
18:54:33 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
18:54:33 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
18:54:34 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
18:54:34 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
18:54:35 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
18:54:35 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
18:54:36 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
18:54:36 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
18:54:36 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
18:54:37 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
18:54:38 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
18:54:38 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
18:54:38 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
18:54:38 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
18:54:39 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
18:54:39 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
18:54:40 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
18:54:40 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
18:54:41 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
18:54:41 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
18:54:42 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Address']
18:54:42 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Address'] was found
18:54:43 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='description']
18:54:43 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='description'] was found
18:54:44 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Save']
18:54:44 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Save'] was found
18:54:46 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
18:54:46 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
18:54:47 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
18:54:47 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
18:54:47 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
18:54:47 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
18:54:48 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
18:54:48 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
18:54:48 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
18:54:48 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
