18:52:46 INFO  manager.ApplicationManager - All tests start in ChromeBrowser
18:52:49 INFO  tests.TestsBase - Name of test --->removeAllContactsNOTWORKS
18:52:49 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
18:52:54 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
18:52:54 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
18:52:54 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
18:52:55 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
18:52:55 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
18:52:55 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
18:52:55 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
18:52:56 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
18:52:56 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
18:52:56 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
18:53:01 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
18:53:01 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
18:53:01 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
18:53:02 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
18:53:02 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
18:53:02 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
18:53:02 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
18:53:03 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
18:53:03 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
18:53:03 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
18:53:03 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
18:53:04 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Address']
18:53:04 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Address'] was found
18:53:04 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='description']
18:53:05 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='description'] was found
18:53:05 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Save']
18:53:05 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Save'] was found
18:53:07 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
18:53:07 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
18:53:07 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
18:53:08 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
18:53:08 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
18:53:08 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
18:53:10 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
18:53:10 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
18:53:10 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
18:53:10 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
18:53:11 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Address']
18:53:11 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Address'] was found
18:53:11 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='description']
18:53:11 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='description'] was found
18:53:12 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Save']
18:53:12 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Save'] was found
18:53:14 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/add']
18:53:14 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/add'] was found
18:53:14 INFO  manager.MyListener - Start find element ---> By.xpath: (//input[@placeholder='Name'])
18:53:14 INFO  manager.MyListener - Element with locator ---> By.xpath: (//input[@placeholder='Name']) was found
18:53:14 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Last Name']
18:53:14 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Last Name'] was found
18:53:14 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Phone']
18:53:14 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Phone'] was found
18:53:15 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='email']
18:53:15 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='email'] was found
18:53:15 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='Address']
18:53:15 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='Address'] was found
18:53:16 INFO  manager.MyListener - Start find element ---> By.xpath: //input[@placeholder='description']
18:53:16 INFO  manager.MyListener - Element with locator ---> By.xpath: //input[@placeholder='description'] was found
18:53:16 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.='Save']
18:53:16 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.='Save'] was found
18:53:18 INFO  manager.MyListener - Start find element ---> By.cssSelector: contact-item_card__2SOIM
18:53:23 INFO  manager.MyListener - Element with locator ---> By.cssSelector: contact-item_card__2SOIM was found
18:53:23 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
18:53:29 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
