18:46:30 INFO  manager.ApplicationManager - All tests start in ChromeBrowser
18:46:44 INFO  tests.TestsBase - Name of test --->removeAllContacts
18:46:44 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
18:46:50 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
18:46:50 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
18:46:51 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
18:46:53 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
18:46:53 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
18:46:55 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
18:46:55 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
18:46:56 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
18:46:56 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
18:46:56 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
18:46:58 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
18:46:58 INFO  manager.MyListener - Start find element ---> By.cssSelector: contact-item_card__2SOIM
18:47:03 INFO  manager.MyListener - Element with locator ---> By.cssSelector: contact-item_card__2SOIM was found
18:47:03 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
18:47:03 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
