12:56:21 INFO  manager.ApplicationManager - All tests start in ChromeBrowser
12:56:24 INFO  tests.TestsBase - Name of test --->loginNegativeTestWithWrongPassword
12:56:24 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
12:56:29 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
12:56:29 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
12:56:29 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
12:56:30 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
12:56:30 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
12:56:31 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
12:56:31 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
12:56:31 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
12:56:31 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
