18:43:44 INFO  manager.ApplicationManager - All tests start in ChromeBrowser
18:43:47 INFO  tests.TestsBase - Name of test --->removeAllContacts
18:43:47 INFO  manager.MyListener - Start find element ---> By.xpath: //*[.='Sign Out']
18:43:52 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[.='Sign Out'] was found
18:43:52 INFO  manager.MyListener - Start find element ---> By.cssSelector: a[href='/login']
18:43:52 INFO  manager.MyListener - Element with locator ---> By.cssSelector: a[href='/login'] was found
18:43:53 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Email']
18:43:53 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Email'] was found
18:43:54 INFO  manager.MyListener - Start find element ---> By.xpath: //*[@placeholder='Password']
18:43:54 INFO  manager.MyListener - Element with locator ---> By.xpath: //*[@placeholder='Password'] was found
18:43:54 INFO  manager.MyListener - Start find element ---> By.xpath: //button[.=' Login']
18:43:55 INFO  manager.MyListener - Element with locator ---> By.xpath: //button[.=' Login'] was found
18:43:55 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
18:43:56 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
18:43:56 INFO  manager.MyListener - Start find element ---> By.cssSelector: contact-item_card__2SOIM
18:44:01 INFO  manager.MyListener - Element with locator ---> By.cssSelector: contact-item_card__2SOIM was found
18:44:01 INFO  manager.MyListener - Start find element ---> By.cssSelector: .contact-item_card__2SOIM
18:44:01 INFO  manager.MyListener - Element with locator ---> By.cssSelector: .contact-item_card__2SOIM was found
